BioSample,collection_date,geo_loc_name,host,sample_type,strain
SAMN42994174,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3347
SAMN42994175,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3348
SAMN42994176,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3352
SAMN42994177,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3353
SAMN42994178,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3358
SAMN42994179,1985,"USA: Tucson, Arizona",Homo sapiens,whole organism,3359
SAMN42994180,1989,"USA: Tucson, Arizona",Homo sapiens,whole organism,3220
SAMN42994181,1990,"USA: Tucson, Arizona",Homo sapiens,whole organism,3215
SAMN42994182,1990,"USA: Tucson, Arizona",Homo sapiens,whole organism,3213
SAMN42994183,1991,"USA: Tucson, Arizona",Homo sapiens,whole organism,3228
SAMN42994184,1991,"USA: Tucson, Arizona",Homo sapiens,whole organism,3242
SAMN42994185,1992,"USA: Tucson, Arizona",Homo sapiens,whole organism,3244
SAMN42994186,1992,"USA: Tucson, Arizona",Homo sapiens,whole organism,3245
SAMN42994187,1992,"USA: Tucson, Arizona",Homo sapiens,whole organism,3246
SAMN42994188,missing,"USA: Tucson, Arizona",Homo sapiens,whole organism,Cp_Silveira
