STRAIN	COUNT
1M0	68340
21SD	70471
3M3	65732
407-0_S_OLD_CPA0002	361874
407-1_S_OLD_CPA0004	360455
409B-0_L_OLD_CPA0011	363962
409B-0_S_OLD_CPA0012	361977
4545-MICE	368806
485B-0_S_OLD_CPA0021	360480
485B-1_L_OLD_CPA0023	355761
485B-4_S_NEW_CPA0029	361602
4M3	58414
4SD	54906
573-1_L_NEW_CPA0031	360101
573-1_S_NEW_CPA0033	357491
574-0_L_OLD_CPA0038	358066
574-0_S_OLD_CPA0039	355652
574-1_L_NEW_CPA0040	359172
578-1_A_NEW_CPA0048	358957
578-1_L_NEW_CPA0049	358084
578-1_L_NEW_CPA0049_alt	357121
582-1_L_NEW_CPA0064	359656
5SD	59719
730332_Guatemala	361440
730333_Guatemala	359585
730334_Guatemala	357336
A391	215
A432	274
A502-1	206
A502-2	231
B0727_Argentina	58780
B0858-Guatemala	365454
B10757_Nevada	361923
B10813_Texas	359258
B10917	362740
B10918	364529
B10919	359391
B11002	58024
B11019	4943
B11034	3095
B11035	58326
B11036	363587
B11057	61069
B11058	355586
B11080	63823
B11198	70437
B11199	363164
B11232	362546
B11299	362387
B11300	364577
B11343	67586
B11400	365048
B11517	74491
B11518	4830
B11587	61222
B11863	69001
B11871	365656
B11872	364412
B11873	52875
B11877	361084
B12202	362792
B12216	367618
B12218	363301
B12219	65175
B12220	60144
B12226	362188
B12397	360350
B12398	2951
B12399	363926
B12400	360869
B12402	360656
B12471	365277
B12475	367135
B12495	60040
B12496	50252
B12498	362532
B1249_Guatemala	365386
B12526	57255
B12527	363717
B13534	361564
B13535	361391
B13956	3426
B13981	359372
B14104	361655
B14130	365772
B14131	56125
B14132	62979
B14133	63189
B14134	366642
B14135	71039
B14286	58850
B14288	53363
B14291	355687
B14292	359257
B14298	59003
B15142	60255
B15145	55959
B15146	63065
B15257	64067
B15317	3229
B15368	61083
B15369	363840
B16293	359620
B16294	358665
B16338	66355
B16339	66989
B16364	69359
B16531	366946
B16536	54306
B16692	5545
B16712	360973
B17554	5510
B17567	64626
B17635	55044
B5773_Brazil	357486
Beeville	352426
C735-TKO	355953
CA14	61933
CA1	53355
CA15	58466
CA17	53144
CA20	61632
CA22	51473
CA23	52863
CA24	63062
CA25	61280
CA2	60884
CA26	63868
CA27	52459
CA28	48681
CA29	60999
CA30	61526
CA3	51594
CA4	54932
CA5	59597
CA6	56098
CA7	63169
CA8	51847
CA9	51714
CDC-202	237
CDC-205	224
CDC-212	245
Coahuila_1	68428
Coahuilla_2	357893
Cocci_1400035797	355263
COCPO_103715	331630
COCPO_103716	144537
COCPO_103717	324612
COCPO_103718	347825
COCPO_103720	345878
COCPO_103721	353316
COCPO_103744	351727
COCPO_103745	346440
COCPO_103827	344650
COCPO_114029	352105
COCPO_114072	355036
COCPO_175712	353232
COCPO_175714	350995
COCPO_175715	349467
COCPO_175716	358323
COCPO_185672	354658
COCPO_195880	351336
COCPO_195881	344787
COCPO_195884	341117
COCPO_34698	359375
COCPO_4545	363718
COCPO_Galgiani	364256
COCSP-2006	54247
COCSP-3478	357352
COCSP-3505	56834
COCSP_8725	354985
COCSP-8945	61301
Colorado_Springs_1	356079
EMS	357352
FMC233	356078
FMC234	358620
FMC235	354418
FMC449	356844
FMC588	357860
FMC718	352338
FMC778	354596
GT-002	357330
GT-017	356170
GT-100	59744
GT-101	358667
GT-102	359578
GT-103	322020
GT-104	60711
GT-105	56255
GT-106	357447
GT-107	51829
GT-108	48844
GT-109	58565
GT-110	361611
GT-111	52838
GT-113	68074
GT-114	65312
GT-115	356174
GT-116	57861
GT-117	53296
GT-118	58922
GT-119	51360
GT-120	361187
GT-121	53534
GT-122	44510
GT-123	56781
GT-124	353515
GT-125	57061
GT-126	58479
GT-127	54090
GT-128	62506
GT-129	47275
GT-130	353178
