STRAIN	COUNT
GT-131	349995
GT-132	52464
GT-133	56452
GT-134	357101
GT-136	355491
GT-139	350128
GT-140	63959
GT-141	349633
GT-142	354660
GT-143	347002
GT-144	358371
GT-145	347726
GT-146	58619
GT-147	45789
GT-148	350074
GT-149	357839
GT-150	351958
GT-151	352119
GT-153	341683
GT-154	357390
GT-155	348248
GT-156	51459
GT-157	358252
GT-158	349885
GT-159	358643
GT-160	348176
GT-161	350900
GT-162	352184
GT-163	48412
GT-164	349006
GT-165	351423
GT-166	349426
GT-167	246
GT-168	355033
GT-169	57267
GT-171	359754
Guerrero_1	52620
h5384	54974
IL1	348678
J_TORRES	365637
KJH004	349138
M1_5	354431
M153	54669
M158	356169
M191	355620
M192	358184
M195	357887
M196	357078
M197	358416
M198	358314
M199	357419
M200	356020
M201	362278
M204	52410
M205	354604
M206	355711
M207	354998
M208	356884
M211	358434
M213	355287
M214	364081
M215	360624
M216	358959
M219	354433
M220	356026
M221	361407
M222	362254
M223	353942
Michoacan_1	366381
Michoacan_2	53284
MJS	358659
NACVFR_2566	358161
NACVFR_4542	363368
NM_0071	354463
NM_0317	225513
NM_0369	355902
NM_3006	353992
NM_3894	37394
NM_3957	142320
NM_4233	358436
NM_4297	42622
NM_459	352194
NM_4708	356755
NM_5945	356531
NM_9837	355923
NM_9861	311446
Nuevo_Leon_1	361222
Nuevo_Leon_2	363726
Phoenix_1	353265
Phoenix_2	356566
Phoenix_3	357168
Phoenix_4	353339
Phoenix_5	355803
Phoenix_6	353135
Phoenix_7	353219
Phoenix_8	354065
Phoenix_9	353914
RS	69054
S_670	357853
S_671	357734
S_672	357501
S_673	357992
S_674	358338
S_675	357848
S_676	357053
S_739	357258
S_740	359105
S_741	358099
S_742	359188
SA12	352808
SA14	364031
SA2	356421
San_Antonio_1	357346
San_Diego_1	58558
SD7	58236
SD8	50561
SDVA10	358048
SDVA14	362162
SDVA15	63876
SDVA1	62799
SDVA16	360781
SDVA17	69590
SDVA20	362711
SDVA25	361527
SDVA26	362928
SDVA2	71530
SDVA27	357042
SDVA3	64551
SDVA36	68359
SDVA38	69723
SDVA39	66210
SDVA41	67147
SDVA42	358972
SDVA44	69537
SDVA45	358708
SDVA4	63137
SDVA47	360091
SDVA48	69365
SDVA5	67727
SDVA6	67225
SDVA7	359454
SDVA8	359708
SJV_10	66608
SJV_11	49937
SJV_1	57642
SJV_2	60039
SJV_3	59003
SJV_4	56910
SJV_5	52662
SJV_6	55547
SJV_7	63550
SJV_8	59530
SJV_9	61157
SOIL_407-0_L_OLD_CPA0001	352929
SOIL_485B-0_L_OLD_CPA0020	352853
SOIL_573-2_L_NEW_CPA0035	351934
SOIL_574-2_L_NEW_CPA0042	355157
SOIL_574-4_S_NEW_CPA0047	350951
SOIL_578-1_A_NEW_CPA0048	352971
SOIL_580-1_L_NEW_CPA0055	343959
SOIL_580-2_L_NEW_CPA0060	351770
SOIL_580-2_S_NEW_CPA0061	345768
SOIL_580-4_L_NEW_CPA0062	354034
SOIL_582-1_S_NEW_CPA0065	341839
SOIL_604-1_L_OLD_CPA066	345698
Sonora_1	354222
Sonora_2	351943
Tucson_10	357681
Tucson_11	360183
Tucson_12	358905
Tucson_13	353618
Tucson_1	356115
Tucson_14	354611
Tucson_15	351816
Tucson_16	357691
Tucson_17	355704
Tucson_18	353034
Tucson_19	355516
Tucson_20	356975
Tucson_21	361241
Tucson_22	351470
Tucson_23	353830
Tucson_2	355952
Tucson_24	360779
Tucson_3	361875
Tucson_4	359021
Tucson_5	356351
Tucson_6	354161
Tucson_7	359416
Tucson_8	359256
Tucson_9	361015
TX10	346054
TX11	346129
TX12	350561
TX1	357272
TX14	352436
TX17	369631
TX2	359733
TX3	360029
TX4	360680
TX5	360527
TX6	354663
TX7	350699
TX8	349116
TX9	351611
UTAH_31331	357238
UTAH_350355	359197
UTAH_9443	362107
UTAH_9737	355308
VFC043	60645
VFC052	69151
VFC054_7SA	336450
VFC083	345498
VFC084_CPA0067	346045
VFC085_CPA0068	355793
VFC087	349206
VFC088	354157
VFC090	345442
VFC091	346952
VFC092	344252
VFC093	351378
WA_211	175
WA_221	220
WA31	359755
Washington_1	286
