Phoenix_3	20022663	95.69
SDVA20	20010133	95.69
M219	10936506	95.68
B11199	14590766	95.67
Tucson_10	27209152	95.67
CA4	21364505	95.66
J_TORRES	24617427	95.59
Phoenix_9	13458946	95.59
SA14	18429816	95.59
SDVA25	21209699	95.58
4545-MICE	51961948	95.54
M200	10596081	95.54
Tucson_5	23783000	95.54
GT-136	13888511	95.49
B16338	10038159	95.48
B15369	11319387	95.41
NM_4233	10620816	95.41
M211	11507704	95.40
M220	14228083	95.34
SDVA45	14889618	95.34
SDVA47	14624837	95.33
578-1_A_NEW_CPA0048	16399295	95.31
B12400	14246947	95.28
B12498	12126824	95.28
Tucson_12	28364899	95.28
B16293	12612251	95.22
GT-106	19267354	95.22
Tucson_1	16664581	95.21
Tucson_20	14359276	95.21
Tucson_24	44849230	95.18
Tucson_24_sra	44849231	95.18
GT-103	1307318	95.16
GT-167	19510852	95.16
M213	11939202	95.16
COCPO_175712	32822086	95.11
B17567	10237533	95.09
485B-0_S_OLD_CPA0021	22397313	95.06
B13956	15102929	94.95
B13981	11006887	94.95
COCPO_103721	40620000	94.94
NM_9837	9774648	94.92
GT-114	10113648	94.89
B16692	14168477	94.88
B11343	7294303	94.85
M197	11437982	94.82
CA7	40579125	94.81
COCPO_114072	63687773	94.81
B16294	10251683	94.80
SDVA10	13335947	94.80
GT-140	6541604	94.79
B11300	11514014	94.77
COCPO_175714	35322017	94.67
GT-144	19122964	94.61
Sonora_1	12391247	94.59
B14292	9846469	94.58
COCPO_Galgiani	45189062	94.55
GT-101	14999243	94.51
Coahuilla_2	29809184	94.50
573-1_S_NEW_CPA0033	14909171	94.47
M195	15897686	94.47
B14291	4816543	94.44
B14134	14977898	94.42
GT-102	97683582	94.39
CA30	31401721	94.37
COCPO_103744	38005129	94.37
NACVFR_2566	5135206	94.37
578-1_L_NEW_CPA0049	15397039	94.32
B14130	16233873	94.28
B12220	13802862	94.19
VFC090	11291772	94.19
B12527	14858866	94.18
409B-0_L_OLD_CPA0011	21687400	94.15
485B-1_L_OLD_CPA0023	7925206	94.15
B1249_Guatemala	5703498	94.08
B13534	14387482	94.06
CA9	10871648	93.89
B11299	11021212	93.80
407-1_S_OLD_CPA0004	13778283	93.70
B16712	11548597	93.68
B11877	11197660	93.67
COCPO_195880	36127751	93.67
B11872	14003659	93.66
GT-171	24192226	93.49
B13535	10460522	93.43
VFC085_CPA0068	15309476	93.41
B11036	14951515	93.38
B12526	11868404	93.35
CA14	13200840	93.34
CA28	12003805	93.34
485B-4_S_NEW_CPA0029	30123116	93.32
COCPO_103745	9855455	93.32
TX17	43574229	93.15
GT-161	17367181	93.11
B16536	13246003	93.03
B12475	14867979	92.97
CA8	18055001	92.95
COCPO_4545	14809994	92.82
B12402	5509456	92.78
573-1_L_NEW_CPA0031	29636283	92.74
CA23	6977366	92.69
B12471	12415141	92.60
GT-168	20392949	92.59
NM_3006	12885981	92.57
B11871	13821564	92.55
TX4	23805186	92.53
407-0_S_OLD_CPA0002	19508491	92.47
B12226	12524006	92.41
SJV_4	23500870	92.38
574-0_L_OLD_CPA0038	26581297	92.29
B11058	4344448	92.26
B12202	11776466	92.26
GT-149	20230684	92.24
CA17	41248608	92.16
B5773_Brazil	4725247	92.13
M223	9884681	92.06
GT-163	3476402	92.03
TX5	45126671	92.00
B12397	10827675	91.96
GT-126	8489212	91.96
GT-157	16414614	91.82
VFC087	17662551	91.82
B11400	7063061	91.61
COCPO_114029	31328640	91.53
GT-169	13188768	91.52
B0858-Guatemala	5686976	91.44
GT-159	19550289	91.36
CA24	50466510	91.35
NM_4708	14120353	91.04
GT-139	9401060	91.03
TX1	28848052	90.92
GT-141	18538956	90.85
TX6	24788829	90.72
GT-117	11178451	90.65
CA15	225529160	90.54
B12218	11225495	90.37
M1_5	9585896	90.32
IL1	9974371	90.17
TX3	32956079	89.99
GT-160	12167616	89.85
B14104	15106494	89.50
B12399	15165210	89.45
GT-156	10004157	89.43
TX11	8010888	89.38
NACVFR_4542	11479236	89.01
GT-158	11760224	88.62
GT-110	34371479	88.55
582-1_L_NEW_CPA0064	47335119	88.49
TX14	13629857	88.42
GT-146	31203761	88.37
TX12	12535593	88.22
CA2	19061177	88.07
GT-142	23246287	87.98
GT-129	8960027	87.90
CA20	16788090	87.60
GT-165	24991760	87.59
GT-124	23762960	87.31
SOIL_578-1_A_NEW_CPA0048	15748341	87.15
TX2	47465841	87.15
COCSP-3505	12697234	86.83
SOIL_574-2_L_NEW_CPA0042	21218289	86.82
CA26	12288537	85.78
GT-151	17001924	85.60
409B-0_S_OLD_CPA0012	18043738	85.30
GT-100	9893537	84.33
GT-150	17814234	84.25
GT-154	27600287	84.22
GT-134	37706508	84.12
M158	20868031	83.86
GT-145	14506190	83.39
COCPO_103718	17055092	83.16
5SD	19666391	83.04
TX9	18989824	81.76
GT-133	11303322	81.45
574-1_L_NEW_CPA0040	33796318	81.14
GT-148	15349453	81.08
CA29	11174025	81.01
COCPO_195884	11539672	80.47
COCPO_103720	21037895	80.18
M153	7315456	79.41
B17554	10690317	79.28
SOIL_580-4_L_NEW_CPA0062	24823665	79.12
M216	27017912	78.72
COCPO_103715	7927547	78.32
SOIL_580-2_L_NEW_CPA0060	16635342	78.23
CA6	61373223	77.89
GT-121	59278063	77.53
SA2	20767410	77.42
COCPO_195881	17796926	77.35
GT-127	106746275	76.19
GT-118	10622866	75.58
SOIL_573-2_L_NEW_CPA0035	14977602	75.03
CA1	8922533	74.95
GT-155	13055517	74.26
NM_0071	15394646	74.11
GT-109	10552007	72.98
COCPO_103717	15090281	72.13
M192	17725034	71.84
TX8	12525807	70.79
COCPO_103716	5136952	70.76
GT-123	9750017	69.42
SOIL_485B-0_L_OLD_CPA0020	13686234	69.11
VFC054_7SA	2168019	68.37
GT-162	19300218	67.87
B10919	5283697	66.70
SOIL_574-4_S_NEW_CPA0047	12000171	64.95
UTAH_31331	14412388	64.61
VFC091	8010545	64.38
KJH004	7677860	63.24
VFC092	5195592	62.19
COCSP-3478	18036809	60.86
GT-131	14453957	59.97
SOIL_407-0_L_OLD_CPA0001	11338963	59.18
SOIL_582-1_S_NEW_CPA0065	5030054	58.74
VFC083	11186743	58.67
VFC084_CPA0067	10698460	57.02
SD8	5088440	55.41
GT-143	5292790	54.36
SA12	13590513	53.26
B11863	3418603	53.19
SOIL_580-2_S_NEW_CPA0061	5667473	52.24
GT-166	27613992	51.89
TX7	8766290	49.95
h5384	6915380	49.80
4SD	4403986	49.37
SOIL_604-1_L_OLD_CPA066	8811428	47.95
GT-164	12206941	46.58
SOIL_580-1_L_NEW_CPA0055	7995844	45.38
GT-153	5830252	42.04
TX10	5914402	41.25
GT-147	6317422	37.24
COCPO_34698	5650938	35.75
GT-112	868965	31.79
NM_7898	2341308	30.14
B11518	4472787	21.30
CA12	575264	10.60
C735	1140926	5.80
TX13	1804108	3.25
CA10	902429	2.39
